KBS1,rtmp://live2.kbs.gscdn.com/1tv_home/_definst_/?id=2101&secure=c2lkPWticy1saXZlJnRva2VuPUtCUy1MSVZFOTdBRjY4M0U5NDFEJmlzc3Vlcj01OC4yMjcuMTk0LjEwNiZjaWQ9NUEzOEY0RDAwRDAyJnBhdGg9LzF0dl9ob21lL19kZWZpbnN0Xy8xdHZfaG9tZS5zdHJlYW0mZmlsZT0xdHZfaG9tZS5zdHJlYW0mYnlwYXNzPWZhbHNlJmF0aW1lPTEzNDczNTc1NDQ=
#EXTINF:-1
KBS2,rtmp://live2.kbs.gscdn.com/2tv_home/_definst_/?id=2101&secure=c2lkPWticy1saXZlJnRva2VuPUtCUy1MSVZFOTg0RUU3NzhCNjU3Jmlzc3Vlcj01OC4yMjcuMTk0LjEwNiZjaWQ9RTcxNkFCNUEyRjBCJnBhdGg9LzJ0dl9ob21lL19kZWZpbnN0Xy8ydHZfaG9tZS5zdHJlYW0mZmlsZT0ydHZfaG9tZS5zdHJlYW0mYnlwYXNzPWZhbHNlJmF0aW1lPTEzNDczNTc1NjM=
#EXTINF:-1
MBC,rtmp://vod.mpmbc.co.kr:1935/live/encoder-tv
SBS-G1,rtmp://smart.igtb.co.kr:1935/live/stream.sdp
NEWS,http://edge2.everyon.tv/etv2sb/phd133/playlist.m3u8
TV-chosen,http://live.chosun.gscdn.com/live/_definst_/tvchosun1.stream/chunklist.m3u8
KTV-HD,rtmp://218.38.152.31:1935/klive/klive.stream
KTV,http://218.38.152.69:1935/da_live/72136989/mp4%3Ach001/playlist.m3u8
film,http://123.108.164.71/etv2/phd847/chunklist_w1522535066.m3u8
KBS1-HD,rtmp://live.kbskme.gscdn.com/1tv/_definst_/1tv_5.stream?id=2101%26si=6%26secure=NGQyYWZkOThjMzU4NmNkYmNjM2I5YzdkNTE5MWVmOTc1ZjM4NzAxYjcwYmRmZDAzMzNiOTY0MTdmN2Q2MzU2ODk1NzI3MTBhMTkzNmEzMmJmN2FlN2QwYzljYzUxZTY1M2FiNWQxYzM4ZmM5ZTBkMDNjMWUxMTE2Y2MzOTUxMjhhMzk2ZmQ1NTY3YjRlOGY3YjI0ODFlOTFjZTdhYjNjOGQ0OTQyYzNjYzU3MTU5NjQ3YTY4ZDhiNTdiNGJhMWQ4OGEzNTQ3NDQwZTI0ZGRkN2QwMGE5OTBlNmM4ZGExNjhmNzQ0ODRkNWIyNmFiNGU1M2ZkMzIzYzg0ZWVkZmQ2N2ViZDUzZDNkNDJmNzEzODhhZTkwNDM1ZGQ5NjIyM2Jj%26csu=false
KBS2-HD,http://hls.live.kbskme.gscdn.com/www_2tv/_definst_/2tv_4.stream/playlist.m3u8?tid=f74c66e59984153d9cc9cef46120e7bd
kbsn-sports,http://hls.live.kbskme.gscdn.com/www_kbsn_sports/_definst_/kbsn_sports_3.stream/playlist.m3u8?tid=ace192e099931ac3c243885da3cd091b
kbs-drama,http://hls.live.kbskme.gscdn.com/kbsn_drama/_definst_/smil:kbsn_drama_adp.smil/chunklist_w1311689569_b180000.m3u8?tid=4181d8dd85c36cfdc131428f09223016
kbs-world,http://hls.live.kbskme.gscdn.com/www_kbs_worldtv/_definst_/kbs_worldtv_3.stream/playlist.m3u8?tid=d51c24dba3b4602871f2cf5a7427f9d6
kbsn-life,http://hls.live.kbskme.gscdn.com/kbsn_prime/_definst_/smil:kbsn_prime_adp.smil/chunklist_w138286227_b180000.m3u8?tid=241e359843f52f497bbe4e90551fc71a
kbs-kids,http://hls.live.kbskme.gscdn.com/kbsn_kids/_definst_/kbsn_kids_4.stream/chunklist_w879772415.m3u8?tid=9a2ad4ac155984ed7d019dbd52ac0481
kbs-w,http://hls.live.kbskme.gscdn.com/kbsn_wtv/_definst_/kbsn_wtv_4.stream/playlist.m3u8?tid=ab8daecf2c252ca22432b9b79fd2d127
kbs-24,http://hls.live.kbskme.gscdn.com/news24/_definst_/news24_800.stream/chunklist_w1465694932.m3u8?tid=23df84ad809ff3e4aa1028a30aeb099d
kbs-joy,http://hls.live.kbskme.gscdn.com/kbsn_joy/_definst_/smil:kbsn_joy_adp.smil/playlist.m3u8?tid=e9ad9596ecb76649afb7b8bd9e4fbd93
EBS1,http://ebsonair.ebs.co.kr:1935/groundwavefamilypc/familypc1m/chunklist_w1081857294.m3u8?time=1454375113788
EBS-English,http://ebsonair.ebs.co.kr:1935/plus3familypc/familypc1m/playlist.m3u8
#EXTINF:-1
CYS,http://live.ybtvyun.com/video/s10006-cys-sd/index.m3u8
YBTV1,http://live.ybtvyun.com/video/s10006-ybtv1-sd/index.m3u8
YBTV2,http://live.ybtvyun.com/video/s10006-ybtv2-sd/index.m3u8
